VACLS,RXNORM,NAME,NDC
CV400,1000005,amlodipine 5 MG / hydrochlorothiazide 25 MG / olmesartan medoxomil 40 MG Oral Tablet [Tribenzor],00713087630
CV400,1000005,amlodipine 5 MG / hydrochlorothiazide 25 MG / olmesartan medoxomil 40 MG Oral Tablet [Tribenzor],65597011607
CV400,1000005,amlodipine 5 MG / hydrochlorothiazide 25 MG / olmesartan medoxomil 40 MG Oral Tablet [Tribenzor],65597011610
CV400,1000005,amlodipine 5 MG / hydrochlorothiazide 25 MG / olmesartan medoxomil 40 MG Oral Tablet [Tribenzor],65597011630
CV400,1000005,amlodipine 5 MG / hydrochlorothiazide 25 MG / olmesartan medoxomil 40 MG Oral Tablet [Tribenzor],65597011670
CV400,1000005,amlodipine 5 MG / hydrochlorothiazide 25 MG / olmesartan medoxomil 40 MG Oral Tablet [Tribenzor],65597011690
CV400,1000001,amlodipine 5 MG / hydrochlorothiazide 25 MG / olmesartan medoxomil 40 MG Oral Tablet,00093500456
CV400,1000001,amlodipine 5 MG / hydrochlorothiazide 25 MG / olmesartan medoxomil 40 MG Oral Tablet,13668038505
CV400,1000001,amlodipine 5 MG / hydrochlorothiazide 25 MG / olmesartan medoxomil 40 MG Oral Tablet,13668038530
CV400,1000001,amlodipine 5 MG / hydrochlorothiazide 25 MG / olmesartan medoxomil 40 MG Oral Tablet,13668038590
CV400,1000001,amlodipine 5 MG / hydrochlorothiazide 25 MG / olmesartan medoxomil 40 MG Oral Tablet,49884078809
CV400,1000001,amlodipine 5 MG / hydrochlorothiazide 25 MG / olmesartan medoxomil 40 MG Oral Tablet,49884078811
CV400,1000001,amlodipine 5 MG / hydrochlorothiazide 25 MG / olmesartan medoxomil 40 MG Oral Tablet,57664079983
CV400,1000001,amlodipine 5 MG / hydrochlorothiazide 25 MG / olmesartan medoxomil 40 MG Oral Tablet,57664079999
CV400,1000001,amlodipine 5 MG / hydrochlorothiazide 25 MG / olmesartan medoxomil 40 MG Oral Tablet,63629224101
CV400,1000001,amlodipine 5 MG / hydrochlorothiazide 25 MG / olmesartan medoxomil 40 MG Oral Tablet,70518164800
CV400,1000001,amlodipine 5 MG / hydrochlorothiazide 25 MG / olmesartan medoxomil 40 MG Oral Tablet,72162151503
CV400,1011712,aliskiren 150 MG / hydrochlorothiazide 12.5 MG Oral Tablet [Tekturna HCT],70839011230
CV400,1011715,aliskiren 150 MG / hydrochlorothiazide 25 MG Oral Tablet [Tekturna HCT],70839012530
CV400,1011752,aliskiren 300 MG / hydrochlorothiazide 12.5 MG Oral Tablet [Tekturna HCT],00078052334
CV400,1011752,aliskiren 300 MG / hydrochlorothiazide 12.5 MG Oral Tablet [Tekturna HCT],00078052335
CV400,1011752,aliskiren 300 MG / hydrochlorothiazide 12.5 MG Oral Tablet [Tekturna HCT],70839031230
CV400,1011755,aliskiren 300 MG / hydrochlorothiazide 25 MG Oral Tablet [Tekturna HCT],70839032530
CV400,1235150,azilsartan medoxomil 40 MG / chlorthalidone 12.5 MG Oral Tablet [Edarbyclor],60631041230
CV400,1235157,azilsartan medoxomil 40 MG / chlorthalidone 25 MG Oral Tablet [Edarbyclor],60631042530
CV400,1299859,hydrochlorothiazide 12.5 MG / moexipril hydrochloride 15 MG Oral Tablet,62175072037
CV400,1299871,hydrochlorothiazide 12.5 MG / moexipril hydrochloride 7.5 MG Oral Tablet,62175071237
CV400,1299890,hydrochlorothiazide 25 MG / moexipril hydrochloride 15 MG Oral Tablet,62175072537
CV400,1600722,amlodipine 10 MG / perindopril arginine 14 MG Oral Tablet [Prestalia],72931001202
CV400,1600726,amlodipine 2.5 MG / perindopril arginine 3.5 MG Oral Tablet [Prestalia],72931001002
CV400,1600730,amlodipine 5 MG / perindopril arginine 7 MG Oral Tablet [Prestalia],72931001102
CV400,1656346,sacubitril 24 MG / valsartan 26 MG Oral Tablet [Entresto],00078065920
CV400,1656346,sacubitril 24 MG / valsartan 26 MG Oral Tablet [Entresto],00078065961
CV400,1656346,sacubitril 24 MG / valsartan 26 MG Oral Tablet [Entresto],00078065967
CV400,1656346,sacubitril 24 MG / valsartan 26 MG Oral Tablet [Entresto],00078965950
CV400,1656351,sacubitril 49 MG / valsartan 51 MG Oral Tablet [Entresto],00078077720
CV400,1656351,sacubitril 49 MG / valsartan 51 MG Oral Tablet [Entresto],00078077761
CV400,1656351,sacubitril 49 MG / valsartan 51 MG Oral Tablet [Entresto],00078077767
CV400,1656351,sacubitril 49 MG / valsartan 51 MG Oral Tablet [Entresto],00078977750
CV400,1656356,sacubitril 97 MG / valsartan 103 MG Oral Tablet [Entresto],00078069620
CV400,1656356,sacubitril 97 MG / valsartan 103 MG Oral Tablet [Entresto],00078069661
CV400,1656356,sacubitril 97 MG / valsartan 103 MG Oral Tablet [Entresto],00078069667
CV400,746023,atenolol 100 MG / chlorthalidone 25 MG Oral Tablet [Tenoretic],52427038390
CV400,197382,atenolol 100 MG / chlorthalidone 25 MG Oral Tablet,00378206401
CV400,197382,atenolol 100 MG / chlorthalidone 25 MG Oral Tablet,00378206493
CV400,197382,atenolol 100 MG / chlorthalidone 25 MG Oral Tablet,00591578301
CV400,197382,atenolol 100 MG / chlorthalidone 25 MG Oral Tablet,10135073401
CV400,197382,atenolol 100 MG / chlorthalidone 25 MG Oral Tablet,16714093701
CV400,197382,atenolol 100 MG / chlorthalidone 25 MG Oral Tablet,29300040101
CV400,197382,atenolol 100 MG / chlorthalidone 25 MG Oral Tablet,29300040105
CV400,197382,atenolol 100 MG / chlorthalidone 25 MG Oral Tablet,55289098830
CV400,197382,atenolol 100 MG / chlorthalidone 25 MG Oral Tablet,63629373801
CV400,197382,atenolol 100 MG / chlorthalidone 25 MG Oral Tablet,63874067601
CV400,197382,atenolol 100 MG / chlorthalidone 25 MG Oral Tablet,63874067612
CV400,197382,atenolol 100 MG / chlorthalidone 25 MG Oral Tablet,63874067615
CV400,197382,atenolol 100 MG / chlorthalidone 25 MG Oral Tablet,63874067620
CV400,197382,atenolol 100 MG / chlorthalidone 25 MG Oral Tablet,70518244600
CV400,197382,atenolol 100 MG / chlorthalidone 25 MG Oral Tablet,70518355000
CV400,197382,atenolol 100 MG / chlorthalidone 25 MG Oral Tablet,70710116801
CV400,197382,atenolol 100 MG / chlorthalidone 25 MG Oral Tablet,70771137301
CV400,197382,atenolol 100 MG / chlorthalidone 25 MG Oral Tablet,70954039110
CV400,746030,atenolol 50 MG / chlorthalidone 25 MG Oral Tablet [Tenoretic],52427038290
CV400,197383,atenolol 50 MG / chlorthalidone 25 MG Oral Tablet,00378206301
CV400,197383,atenolol 50 MG / chlorthalidone 25 MG Oral Tablet,00591578201
CV400,197383,atenolol 50 MG / chlorthalidone 25 MG Oral Tablet,10135073301
CV400,197383,atenolol 50 MG / chlorthalidone 25 MG Oral Tablet,16714093601
CV400,197383,atenolol 50 MG / chlorthalidone 25 MG Oral Tablet,29300040001
CV400,197383,atenolol 50 MG / chlorthalidone 25 MG Oral Tablet,29300040005
CV400,197383,atenolol 50 MG / chlorthalidone 25 MG Oral Tablet,43353014909
CV400,197383,atenolol 50 MG / chlorthalidone 25 MG Oral Tablet,43353098509
CV400,197383,atenolol 50 MG / chlorthalidone 25 MG Oral Tablet,49999051230
CV400,197383,atenolol 50 MG / chlorthalidone 25 MG Oral Tablet,55289099330
CV400,197383,atenolol 50 MG / chlorthalidone 25 MG Oral Tablet,55289099360
CV400,197383,atenolol 50 MG / chlorthalidone 25 MG Oral Tablet,55289099390
CV400,197383,atenolol 50 MG / chlorthalidone 25 MG Oral Tablet,55887058501
CV400,197383,atenolol 50 MG / chlorthalidone 25 MG Oral Tablet,63629290901
CV400,197383,atenolol 50 MG / chlorthalidone 25 MG Oral Tablet,63629290902
CV400,197383,atenolol 50 MG / chlorthalidone 25 MG Oral Tablet,63629290903
CV400,197383,atenolol 50 MG / chlorthalidone 25 MG Oral Tablet,63629290904
CV400,197383,atenolol 50 MG / chlorthalidone 25 MG Oral Tablet,70710116701
CV400,197383,atenolol 50 MG / chlorthalidone 25 MG Oral Tablet,70771137201
CV400,197383,atenolol 50 MG / chlorthalidone 25 MG Oral Tablet,70954039010
CV400,197436,captopril 25 MG / hydrochlorothiazide 15 MG Oral Tablet,00378008101
CV400,197436,captopril 25 MG / hydrochlorothiazide 15 MG Oral Tablet,16571082709
CV400,197437,captopril 25 MG / hydrochlorothiazide 25 MG Oral Tablet,00378008301
CV400,197437,captopril 25 MG / hydrochlorothiazide 25 MG Oral Tablet,16571082809
CV400,197438,captopril 50 MG / hydrochlorothiazide 15 MG Oral Tablet,00378008401
CV400,197438,captopril 50 MG / hydrochlorothiazide 15 MG Oral Tablet,16571082909
CV400,197439,captopril 50 MG / hydrochlorothiazide 25 MG Oral Tablet,00378008601
CV400,197439,captopril 50 MG / hydrochlorothiazide 25 MG Oral Tablet,16571083009
CV400,823986,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet [Zestoretic],52427043590
CV400,823986,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet [Zestoretic],52959049800
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,00185710001
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,00185710010
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,00378101201
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,00591086001
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,00591086005
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,00781184801
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,16571079101
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,16571079150
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,33358021430
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,33358021460
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,35356077730
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,35356077790
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,42291039001
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,42291039010
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,42708003430
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,42708015030
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,43063048230
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,43063048290
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,43353086630
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,43353086660
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,43353097530
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,43547042010
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,43547042011
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,43547042050
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,49999076100
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,49999076130
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,50090110700
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,50090110701
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,50090256500
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,50090256501
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,50090256502
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,50090606200
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,50090606201
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,50090606202
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,50090609400
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,50090609401
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,50268047911
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,50268047915
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,51655041226
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,51655041230
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,51655041260
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,52959013715
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,52959013790
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,53002130800
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,53002130803
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,53002230800
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,53002230803
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,55700072490
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,55700090630
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,60429020110
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,60429020190
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,60505020503
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,60505020507
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,60505268901
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,60760006390
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,60760058690
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,60760086090
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,60760096890
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,61919097030
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,61919097090
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,63187031930
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,63187031960
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,63187031990
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,63629167901
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,63629167902
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,63629167903
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,63629167904
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,65862004300
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,65862004301
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,65862004305
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,65862004330
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,65862004399
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,66267075130
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,66267075190
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,67296092001
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,67296092003
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,68071229109
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,68071269103
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,68071269109
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,68071300803
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,68071300806
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,68071300809
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,68084076611
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,68084076621
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,68180051801
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,68180051802
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,68180051830
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,68645055654
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,68788815901
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,68788815903
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,68788815906
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,68788815909
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,68788822401
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,68788822403
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,68788822406
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,68788822409
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,68788980701
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,68788980703
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,68788980706
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,68788980709
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,69097096805
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,69097096807
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,69097096812
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,69097096815
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,70518019600
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,70518019601
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,70518019602
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,70934025130
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,70934071730
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,70934071790
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,71335006001
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,71335006002
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,71335006003
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,71335006004
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,71335006005
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,71335047901
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,71335047902
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,71335047903
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,71335047904
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,71335047905
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,71335199201
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,71335199202
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,71335199203
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,71335199204
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,71335199205
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,71335210201
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,71335210202
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,71335210203
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,71335210204
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,71335210205
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,71610038230
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,71610038260
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,76282044601
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,76282044605
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,76282044610
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,76282044690
CV400,197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,80425020703
CV400,823982,hydrochlorothiazide 12.5 MG / lisinopril 20 MG Oral Tablet [Zestoretic],52427043690
CV400,197886,hydrochlorothiazide 12.5 MG / lisinopril 20 MG Oral Tablet,00093103605
CV400,197886,hydrochlorothiazide 12.5 MG / lisinopril 20 MG Oral Tablet,00185015201
CV400,197886,hydrochlorothiazide 12.5 MG / lisinopril 20 MG Oral Tablet,00185015210
CV400,197886,hydrochlorothiazide 12.5 MG / lisinopril 20 MG Oral Tablet,00378201201
CV400,197886,hydrochlorothiazide 12.5 MG / lisinopril 20 MG Oral Tablet,00591086101
CV400,197886,hydrochlorothiazide 12.5 MG / lisinopril 20 MG Oral Tablet,00591086105
CV400,197886,hydrochlorothiazide 12.5 MG / lisinopril 20 MG Oral Tablet,00781117601
