VACLS,RXNORM,NAME,TTY
CV400,17767,amlodipine,IN
CV400,321064,olmesartan,IN
CV400,5487,hydrochlorothiazide,IN
CV400,1008801,amlodipine / hydrochlorothiazide / olmesartan,MIN
CV400,118463,olmesartan medoxomil,PIN
CV400,1000005,amlodipine 5 MG / hydrochlorothiazide 25 MG / olmesartan medoxomil 40 MG Oral Tablet [Tribenzor],SBD
CV400,1000003,amlodipine 5 MG / hydrochlorothiazide 25 MG / olmesartan medoxomil 40 MG [Tribenzor],SBDC
CV400,999970,amlodipine / hydrochlorothiazide / olmesartan Oral Tablet [Tribenzor],SBDF
CV400,1182147,Tribenzor Pill,SBDG
CV400,1182686,Tribenzor Oral Product,SBDG
CV400,1000001,amlodipine 5 MG / hydrochlorothiazide 25 MG / olmesartan medoxomil 40 MG Oral Tablet,SCD
CV400,316049,hydrochlorothiazide 25 MG,SCDC
CV400,329528,amlodipine 5 MG,SCDC
CV400,359114,olmesartan medoxomil 40 MG,SCDC
CV400,999966,amlodipine / hydrochlorothiazide / olmesartan Oral Tablet,SCDF
CV400,1152277,amlodipine / hydrochlorothiazide / olmesartan Oral Product,SCDG
CV400,1152278,amlodipine / hydrochlorothiazide / olmesartan Pill,SCDG
CV400,325646,aliskiren,IN
CV400,802519,aliskiren / hydrochlorothiazide,MIN
CV400,1011712,aliskiren 150 MG / hydrochlorothiazide 12.5 MG Oral Tablet [Tekturna HCT],SBD
CV400,1011711,aliskiren 150 MG / hydrochlorothiazide 12.5 MG [Tekturna HCT],SBDC
CV400,758550,aliskiren / hydrochlorothiazide Oral Tablet [Tekturna HCT],SBDF
CV400,1430140,Tekturna HCT Oral Product,SBDG
CV400,1430141,Tekturna HCT Pill,SBDG
CV400,1011710,aliskiren 150 MG / hydrochlorothiazide 12.5 MG Oral Tablet,SCD
CV400,1009217,aliskiren 150 MG,SCDC
CV400,316047,hydrochlorothiazide 12.5 MG,SCDC
CV400,754717,aliskiren / hydrochlorothiazide Oral Tablet,SCDF
CV400,1164883,aliskiren / hydrochlorothiazide Oral Product,SCDG
CV400,1164884,aliskiren / hydrochlorothiazide Pill,SCDG
CV400,1011715,aliskiren 150 MG / hydrochlorothiazide 25 MG Oral Tablet [Tekturna HCT],SBD
CV400,1011714,aliskiren 150 MG / hydrochlorothiazide 25 MG [Tekturna HCT],SBDC
CV400,1011713,aliskiren 150 MG / hydrochlorothiazide 25 MG Oral Tablet,SCD
CV400,1011752,aliskiren 300 MG / hydrochlorothiazide 12.5 MG Oral Tablet [Tekturna HCT],SBD
CV400,1011751,aliskiren 300 MG / hydrochlorothiazide 12.5 MG [Tekturna HCT],SBDC
CV400,1011750,aliskiren 300 MG / hydrochlorothiazide 12.5 MG Oral Tablet,SCD
CV400,1009314,aliskiren 300 MG,SCDC
CV400,1011755,aliskiren 300 MG / hydrochlorothiazide 25 MG Oral Tablet [Tekturna HCT],SBD
CV400,1011754,aliskiren 300 MG / hydrochlorothiazide 25 MG [Tekturna HCT],SBDC
CV400,1011753,aliskiren 300 MG / hydrochlorothiazide 25 MG Oral Tablet,SCD
CV400,1091643,azilsartan,IN
CV400,2409,chlorthalidone,IN
CV400,1235143,azilsartan / chlorthalidone,MIN
CV400,1091642,azilsartan medoxomil,PIN
CV400,1235150,azilsartan medoxomil 40 MG / chlorthalidone 12.5 MG Oral Tablet [Edarbyclor],SBD
CV400,1235146,azilsartan medoxomil 40 MG / chlorthalidone 12.5 MG [Edarbyclor],SBDC
CV400,1235147,azilsartan / chlorthalidone Oral Tablet [Edarbyclor],SBDF
CV400,1235148,Edarbyclor Oral Product,SBDG
CV400,1235149,Edarbyclor Pill,SBDG
CV400,1235144,azilsartan medoxomil 40 MG / chlorthalidone 12.5 MG Oral Tablet,SCD
CV400,1091644,azilsartan medoxomil 40 MG,SCDC
CV400,331132,chlorthalidone 12.5 MG,SCDC
CV400,1235142,azilsartan / chlorthalidone Oral Tablet,SCDF
CV400,1235140,azilsartan / chlorthalidone Oral Product,SCDG
CV400,1235141,azilsartan / chlorthalidone Pill,SCDG
CV400,1235157,azilsartan medoxomil 40 MG / chlorthalidone 25 MG Oral Tablet [Edarbyclor],SBD
CV400,1235153,azilsartan medoxomil 40 MG / chlorthalidone 25 MG [Edarbyclor],SBDC
CV400,1235151,azilsartan medoxomil 40 MG / chlorthalidone 25 MG Oral Tablet,SCD
CV400,315655,chlorthalidone 25 MG,SCDC
CV400,30131,moexipril,IN
CV400,214622,hydrochlorothiazide / moexipril,MIN
CV400,236066,moexipril hydrochloride,PIN
CV400,1299859,hydrochlorothiazide 12.5 MG / moexipril hydrochloride 15 MG Oral Tablet,SCD
CV400,1299858,moexipril hydrochloride 15 MG,SCDC
CV400,372946,hydrochlorothiazide / moexipril Oral Tablet,SCDF
CV400,1162775,hydrochlorothiazide / moexipril Oral Product,SCDG
CV400,1162776,hydrochlorothiazide / moexipril Pill,SCDG
CV400,1299871,hydrochlorothiazide 12.5 MG / moexipril hydrochloride 7.5 MG Oral Tablet,SCD
